,Name,Limit
0,AUMANN AG INH O.N.,12.0
1,"BAIDU INC.A ADR DL-,00005",100
2,BAY.MOTOREN WERKE VZO,
3,BAYER AG NA O.N.,
4,BNP PAR.EHG MINIL 0ZC,
5,CANCOM SE O.N.,
6,"CISCO SYSTEMS DL-,001",
7,CTS EVENTIM KGAA,
8,FORTEC ELEKTRO. O.N.,
9,HENSOLDT AG INH O.N.,
10,"IROBOT CORP. DL-,01",
11,ISHS CORE DAX UCITS ETF,
12,JD.COM SP.ADR A1 DL-00002,
13,MS CO.I. MINIL DAX,
14,MTU AERO ENGINES NA O.N.,
15,NANOGATE SE I.A.INH. O.N.,
16,"PROTO LABS INC. DL-,001",
17,SG EFF. MINIL TMV,
18,SG EFF. TUBULL SHL,
19,SG EFF. TURBOL DAX,
20,SIXT SE VZO O.N.,
21,SLM SOLUTIONS GRP AG,
22,"STEINHOFF INT.HLDG.EO-,50",
23,TRIP.COM.GROUP SP.ADR1/8,
24,TUI AG BZR,
25,TUI AG NA O.N.,
26,VOLKSWAGEN AG VZO O.N.,
27,WEICHAI POWER CO. H YC 1,
28,Apple Inc,110.0
29,Gesamtdepotwert (EUR),
30,,
31,,
32,TUI AG BZR,5.0
33,TUI AG BZR,15.0
34,TUI AG BZR,45.0
35,Volkswagen AG,140.0
36,Volkswagen AG,110.0
37,Volkswagen AG,190.0
38,AUMANN AG INH O.N.,14.5
39,Akasol AG,95.0
40,Akasol AG,104.0
41,BAYER AG NA O.N,50.0
