ticker,name,ipo_date,s1_date,difference,in_nasdaq
CRU,Crucible Acquisition,2021-01-05 00:00:00 +0100,2020-12-18 00:00:00 +0100,18.0,FALSE
BENE,Benessere Capital Acquisition,2021-01-05 00:00:00 +0100,2020-12-18 00:00:00 +0100,18.0,FALSE
FVT,Fortress Value Acquisition III,2021-01-05 00:00:00 +0100,2020-12-18 00:00:00 +0100,18.0,FALSE
CRU,Crucible Acquisition,2021-01-05 00:00:00 +0100,2020-12-18 00:00:00 +0100,18.0,FALSE
FVT,Fortress Value Acquisition III,2021-01-05 00:00:00 +0100,2020-11-20 00:00:00 +0100,46.0,FALSE
BENE,Benessere Capital Acquisition,2021-01-05 00:00:00 +0100,2020-11-03 00:00:00 +0100,63.0,FALSE
KAIR,Kairos Acquisition,2021-01-06 00:00:00 +0100,2020-12-21 00:00:00 +0100,16.0,FALSE
PPGH,Poema Global,2021-01-06 00:00:00 +0100,2020-12-18 00:00:00 +0100,19.0,FALSE
STPC,Star Peak II,2021-01-06 00:00:00 +0100,2020-12-18 00:00:00 +0100,19.0,FALSE
PPGH,Poema Global,2021-01-06 00:00:00 +0100,2020-12-18 00:00:00 +0100,19.0,FALSE
STPC,Star Peak II,2021-01-06 00:00:00 +0100,2020-12-18 00:00:00 +0100,19.0,FALSE
KAIR,Kairos Acquisition,2021-01-06 00:00:00 +0100,2020-12-18 00:00:00 +0100,19.0,FALSE
AKIC,Sports Ventures Acquisition,2021-01-06 00:00:00 +0100,2020-12-18 00:00:00 +0100,19.0,FALSE
AKIC,Sports Ventures Acquisition,2021-01-06 00:00:00 +0100,2020-10-09 00:00:00 +0200,89.0,FALSE
OMEG,Omega Alpha SPAC,2021-01-07 00:00:00 +0100,2020-12-21 00:00:00 +0100,17.0,FALSE
VTIQ,VectoIQ Acquisition II,2021-01-07 00:00:00 +0100,2020-12-18 00:00:00 +0100,20.0,FALSE
IVAN,Ivanhoe Capital Acquisition,2021-01-07 00:00:00 +0100,2020-12-18 00:00:00 +0100,20.0,FALSE
BLTS,Bright Lights Acquisition,2021-01-07 00:00:00 +0100,2020-12-18 00:00:00 +0100,20.0,FALSE
