,mySupervisionList,RSL_List,trendIndicator
16,Bayer Aktiengesellschaft,1.020337330619399,--+---
0,TeamViewer AG,1.0217287282298466,-++++-
29,Trip.com Group Limited,1.0490702460365713,---++-
2,Heineken N.V.,1.0502400990029335,---++-
17,Cancom SE,1.058745760564223,+++++-
20,FORTEC Elektronik AG,1.0648987222116186,+++-+-
18,"Cisco Systems, Inc.",1.0770101343244274,+++++-
15,Bayerische Motoren Werke Aktiengesellschaft,1.0870341623242776,++-++-
19,CTS Eventim AG & Co. KGaA,1.1029493416936238,---++-
26,Siemens Healthineers AG,1.1141503944456268,-++++-
3,Siemens Healthineers AG,1.1141503944456268,-++++-
7,Johnson & Johnson,1.1199060499670197,+++++-
30,TUI AG,1.1201807147953937,---++-
4,Vossloh AG,1.144944804858401,--+++-
23,MULTI-UNITS LUXEMBOURG - Lyxor Euro Government Bond (DR) UCITS ETF - Acc,1.145106692644909,---++-
10,Schaltbau Holding AG,1.1491765648954875,--+++-
31,Volkswagen AG,1.1501059986853637,-++++-
1,Apple Inc.,1.192692470900576,+++++-
24,Nanogate AG,1.2017751868073534,------
13,Aumann AG,1.2049599904111568,+-+++-
22,"JD.com, Inc.",1.2119232602949472,+++++-
27,Sixt SE,1.2134168060582884,--+++-
8,Broadcom Inc.,1.2396955397144136,-++++-
9,SHW AG,1.2404661175819605,--+++-
12,"Weichai Power Co., Ltd.",1.2635429197947146,--+++-
5,General Electric Company,1.3451830683987043,+-+++-
28,SLM Corporation,1.3618172062582374,--+++-
21,iRobot Corporation,1.4189642425284608,+++++-
25,"Proto Labs, Inc.",1.4454399438524619,+++++-
11,Akasol AG,1.578011249447677,--+++-
14,BIDU,1.6843500945799827,--+++-
6,"Tanger Factory Outlet Centers, Inc.",1.7914784501360448,+++++-
